Código CVM,Empresa,Categoria,Tipo,Espécie,Data Referência,Data Entrega,Status,V,Modalidade,download
01219-0,012190 BOMBRIL S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 18:13,Ativo,1,AP,"OpenDownloadDocumentos('240191','1','715378','IPE')"
01282-3,012823 SIDERURGICA J. L. ALIPERTI S.A.,Formulário Cadastral,,,20190101 2019,20191009 09/10/2019 12:01,Ativo,2,RC,"OpenDownloadDocumentos('88615','2','012823FCA000020190200088615-78','FCA')"
01347-1,013471 PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 09:37,Ativo,1,AP,"OpenDownloadDocumentos('240072','1','715258','IPE')"
01476-1,014761 CIA HERING,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20191009 09/10/2019 16:00,Ativo,2,RE,"OpenDownloadDocumentos('240135','2','715321','IPE')"
01553-9,015539 NEOENERGIA S.A.,Política de Dividendos,,,20171026 26/10/2017 13:00,20191009 09/10/2019 10:24,Ativo,2,RE,"OpenDownloadDocumentos('240083','2','715269','IPE')"
01553-9,015539 NEOENERGIA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 11:42,Ativo,1,AP,"OpenDownloadDocumentos('240102','1','715288','IPE')"
01578-4,015784 ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 14:58,Ativo,1,AP,"OpenDownloadDocumentos('240125','1','715311','IPE')"
01624-1,016241 SOC.DE ABASTEC.DE ÁGUA E SANEAMENTO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 08:08,Ativo,1,AP,"OpenDownloadDocumentos('240064','1','715250','IPE')"
01629-2,016292 BRF S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Resultado das Tender Offers -,20191009 09/10/2019,20191009 09/10/2019 09:11,Ativo,1,AP,"OpenDownloadDocumentos('240071','1','715257','IPE')"
01629-2,016292 BRF S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20191009 09/10/2019 18:02,Inativo,4,RE,"OpenDownloadDocumentos('240177','4','715364','IPE')"
01686-1,016861 CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 10:44,Ativo,1,AP,"OpenDownloadDocumentos('240092','1','715278','IPE')"
01686-1,016861 CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,Reunião da Administração,Conselho de Administração,"Apresentação do Relatório de Acompanhamento de Obras;,Acompanhamento dos Planos de Ações e Indicadores de Desempenho;,Aprovação do Estudo Econômico e Financeiro e da Minuta de Contrato de Programa com o Município de Lontras;,Aprovação do Estudo Econômico e Financeiro e da Minuta de Contrato de Programa com o Município de Nova Veneza;,Aprovação do Estudo Econômico e Financeiro e da Minuta de Contrato de Programa com o Município de Maracajá;,Aprovação da Alteração do Organograma da CASAN para criação dos Distritos Operacionais dos Municípios de Entre Rios e Tigrinhos e transferência do Distrito Operacional de Macieira da Agência de Caçado,Aprovação do Programa de Integridade;,Aprovação do Regimento Interno do Conselho de Administração da CASAN;,Adequação do Artº 3 do Regimento Interno dos Comitês de Assessoramento;,Apresentação do Impacto Financeiro do Acordo Coletivo 2019/2020;,Apresentação do Fluxo de Caixa do PDVI; XII. Relatório da Auditoria contratada pela AFD;,Apresentação das Adequações dos Canais de Acesso e Plataforma para Acompanhamento de Demandas da Ouvidoria;,Aprovação do Manual da Auditoria Interna.Ata",20190930 30/09/2019 08:30,20191009 09/10/2019 17:07,Ativo,1,AP,"OpenDownloadDocumentos('240151','1','715337','IPE')"
01767-1,017671 TELEFÔNICA BRASIL S.A,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 09:57,Ativo,1,AP,"OpenDownloadDocumentos('240077','1','715263','IPE')"
01791-4,017914 MMX MINERACAO E METALICOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 23:14,Ativo,1,AP,"OpenDownloadDocumentos('240244','1','715431','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Pagamento de Juros e Amortização - Cri 77 -,20191009 09/10/2019,20191009 09/10/2019 18:09,Ativo,1,AP,"OpenDownloadDocumentos('240181','1','715368','IPE')"
01866-0,018660 CPFL ENERGIA S.A.,Regimento interno do Conselho de Administração,,,20191008 08/10/2019 22:00,20191009 09/10/2019 14:51,Ativo,1,AP,"OpenDownloadDocumentos('240123','1','715309','IPE')"
01897-0,018970 AES TIETE ENERGIA SA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 14:27,Ativo,1,AP,"OpenDownloadDocumentos('240118','1','715304','IPE')"
01897-0,018970 AES TIETE ENERGIA SA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 14:28,Ativo,1,AP,"OpenDownloadDocumentos('240119','1','715305','IPE')"
01934-8,019348 ITAU UNIBANCO HOLDING S.A.,Regimento interno de Comitês,,Regimento Interno do Comitê de Estratégia -,20160624 24/06/2016 12:30,20191009 09/10/2019 18:01,Ativo,2,RE,"OpenDownloadDocumentos('240175','2','715361','IPE')"
01945-3,019453 ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Reunião da Administração,Conselho de Administração,"Deliberar sobre a eleição dos membros para (a) o Comitê de Auditoria, (b) o Comitê de Investimentos, Finanças e Riscos, e (c) o Comitê de Gestão de Pessoas e Governança.Ata",20191001 01/10/2019 12:00,20191009 09/10/2019 17:18,Ativo,1,AP,"OpenDownloadDocumentos('240158','1','715344','IPE')"
01972-0,019720 BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,Formulário de Referência,,,20190101 2019,20191009 09/10/2019 08:59,Ativo,5,RE,"OpenDownloadDocumentos('88614','5','019720FRE201920190500088614-79','')"
01983-6,019836 COSAN S.A.,Formulário de Referência,,,20190101 2019,20191009 09/10/2019 18:49,Inativo,4,RE,"OpenDownloadDocumentos('88619','4','019836FRE201920190400088619-82','')"
01986-0,019860 RB CAPITAL SECURITIZADORA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Pagamento de Juros e amortização - Cri 84 -,20191009 09/10/2019,20191009 09/10/2019 17:57,Ativo,1,AP,"OpenDownloadDocumentos('240169','1','715355','IPE')"
02002-8,020028 VALID SOLUÇÕES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 18:14,Ativo,1,AP,"OpenDownloadDocumentos('240193','1','715380','IPE')"
02012-5,020125 ODONTOPREV S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Encerramento do Programa de Recompra -,20191009 09/10/2019,20191009 09/10/2019 18:48,Ativo,1,AP,"OpenDownloadDocumentos('240217','1','715404','IPE')"
02034-6,020346 PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 10:03,Ativo,1,AP,"OpenDownloadDocumentos('240079','1','715265','IPE')"
02036-2,020362 POSITIVO TECNOLOGIA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 16:30,Ativo,1,AP,"OpenDownloadDocumentos('240141','1','715327','IPE')"
02049-4,020494 IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,Reunião da Administração,Conselho de Administração,APROVAÇÃO DA ALIENAÇÃO DA PARTIIPAÇÃO DE 30% NO SHOPPING CENTER IGUATEMI FLORIANÓPOLISAta,20191007 07/10/2019 17:00,20191009 09/10/2019 18:09,Ativo,1,AP,"OpenDownloadDocumentos('240180','1','715367','IPE')"
02049-4,020494 IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Iguatemi anuncia venda de sua participação no Shopping Iguatemi Florianópolis -,20191009 09/10/2019,20191009 09/10/2019 18:10,Ativo,1,AP,"OpenDownloadDocumentos('240184','1','715371','IPE')"
02052-4,020524 EVEN CONSTRUTORA E INCORPORADORA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190801 08/2019,20191009 09/10/2019 16:49,Ativo,2,RE,"OpenDownloadDocumentos('240147','2','715333','IPE')"
02052-4,020524 EVEN CONSTRUTORA E INCORPORADORA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 16:54,Ativo,1,AP,"OpenDownloadDocumentos('240148','1','715334','IPE')"
02052-4,020524 EVEN CONSTRUTORA E INCORPORADORA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 17:00,Ativo,1,AP,"OpenDownloadDocumentos('240149','1','715335','IPE')"
02054-0,020540 CPFL ENERGIAS RENOVÁVEIS S.A.,Reunião da Administração,Conselho de Administração,"Destaques gerenciais e assuntos relevantes ocorridos desde a última Reunião Ordinária do Conselho de Administração até a data,Celebração pela “CPFL Renováveis” de contrato na modalidade de turnkey para o fornecimento de equipamentos e serviços técnicos especializadosAta",20191001 01/10/2019 10:00,20191009 09/10/2019 08:47,Ativo,1,AP,"OpenDownloadDocumentos('240068','1','715254','IPE')"
02054-0,020540 CPFL ENERGIAS RENOVÁVEIS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 14:20,Ativo,1,AP,"OpenDownloadDocumentos('240117','1','715303','IPE')"
02054-0,020540 CPFL ENERGIAS RENOVÁVEIS S.A.,Assembleia,AGE,Consolida as instruções de votos a distância proferidas por seus acionistas e as instruções de voto proferidas presencialmenteMapa final de votação detalhado,20191004 04/10/2019 15:00,20191009 09/10/2019 15:28,Ativo,1,AP,"OpenDownloadDocumentos('240131','1','715317','IPE')"
02054-0,020540 CPFL ENERGIAS RENOVÁVEIS S.A.,Formulário de Referência,,,20190101 2019,20191009 09/10/2019 16:30,Inativo,6,RE,"OpenDownloadDocumentos('88617','6','020540FRE201920190600088617-81','')"
02062-1,020621 FERTILIZANTES HERINGER S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 16:46,Ativo,1,AP,"OpenDownloadDocumentos('240146','1','715332','IPE')"
02064-8,020648 CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato de Indenidade Conselheiros Fiscais -,20191009 09/10/2019,20191009 09/10/2019 15:25,Ativo,1,AP,"OpenDownloadDocumentos('240129','1','715315','IPE')"
02070-2,020702 VIVER INCORPORADORA E CONSTRUTORA S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20191009 09/10/2019 17:58,Inativo,6,RE,"OpenDownloadDocumentos('240170','6','715356','IPE')"
02070-2,020702 VIVER INCORPORADORA E CONSTRUTORA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Alteração do calendário de eventos 2019 -,20191009 09/10/2019,20191009 09/10/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('240179','1','715366','IPE')"
02070-2,020702 VIVER INCORPORADORA E CONSTRUTORA S.A.,Reunião da Administração,Conselho de Administração,"Deliberar sobre a proposta de aumento de capital da Companhia dentro do limite do capital autorizado, mediante emissão de ações para subscrição privada.Ata",20191009 09/10/2019 15:00,20191009 09/10/2019 18:13,Ativo,1,AP,"OpenDownloadDocumentos('240192','1','715379','IPE')"
02070-2,020702 VIVER INCORPORADORA E CONSTRUTORA S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20191009 09/10/2019 15:00,20191009 09/10/2019 18:19,Inativo,1,AP,"OpenDownloadDocumentos('240198','1','715385','IPE')"
02070-2,020702 VIVER INCORPORADORA E CONSTRUTORA S.A.,Fato Relevante,,Aumento de capital para subscrição privada -,20191009 09/10/2019,20191009 09/10/2019 18:26,Ativo,1,AP,"OpenDownloadDocumentos('240202','1','715389','IPE')"
02070-2,020702 VIVER INCORPORADORA E CONSTRUTORA S.A.,Reunião da Administração,Conselho Fiscal,Parecer sobre aumento de capitalAta,20191009 09/10/2019 11:00,20191009 09/10/2019 18:53,Ativo,1,AP,"OpenDownloadDocumentos('240219','1','715406','IPE')"
02080-0,020800 TEGMA GESTAO LOGISTICA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 17:23,Ativo,1,AP,"OpenDownloadDocumentos('240159','1','715345','IPE')"
02087-7,020877 HELBOR EMPREENDIMENTOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 08:48,Ativo,1,AP,"OpenDownloadDocumentos('240069','1','715255','IPE')"
02087-7,020877 HELBOR EMPREENDIMENTOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 08:53,Ativo,1,AP,"OpenDownloadDocumentos('240070','1','715256','IPE')"
02093-1,020931 MINERVA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 17:50,Ativo,1,AP,"OpenDownloadDocumentos('240167','1','715353','IPE')"
02095-8,020958 BCO ABC BRASIL S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 17:00,Ativo,1,AP,"OpenDownloadDocumentos('240150','1','715336','IPE')"
02095-8,020958 BCO ABC BRASIL S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 17:08,Ativo,1,AP,"OpenDownloadDocumentos('240152','1','715338','IPE')"
02099-0,020990 B2W - COMPANHIA DIGITAL,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Parceria Ame e VTEX -,20191009 09/10/2019,20191009 09/10/2019 18:37,Ativo,1,AP,"OpenDownloadDocumentos('240207','1','715394','IPE')"
02099-0,020990 B2W - COMPANHIA DIGITAL,Reunião da Administração,Conselho de Administração,Aumento de Capital por Subscrição do Plano de AçãoAta,20190930 30/09/2019 18:00,20191009 09/10/2019 19:38,Ativo,1,AP,"OpenDownloadDocumentos('240230','1','715417','IPE')"
02099-0,020990 B2W - COMPANHIA DIGITAL,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20190930 30/09/2019 18:00,20191009 09/10/2019 19:39,Ativo,1,AP,"OpenDownloadDocumentos('240234','1','715421','IPE')"
02099-0,020990 B2W - COMPANHIA DIGITAL,Formulário de Referência,,,20190101 2019,20191009 09/10/2019 20:10,Inativo,6,RE,"OpenDownloadDocumentos('88624','6','020990FRE201920190600088624-74','')"
02101-6,021016 ESTACIO PARTICIPACOES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 18:40,Ativo,1,AP,"OpenDownloadDocumentos('240214','1','715401','IPE')"
02101-6,021016 ESTACIO PARTICIPACOES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 18:42,Ativo,1,AP,"OpenDownloadDocumentos('240215','1','715402','IPE')"
02123-7,021237 ENEVA S.A,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 16:18,Ativo,1,AP,"OpenDownloadDocumentos('240139','1','715325','IPE')"
02135-0,021350 DIRECIONAL ENGENHARIA S.A.,Reunião da Administração,Conselho de Administração,Distribuição de Dividendos/Juros sobre Capital PróprioAta,20191009 09/10/2019 18:00,20191009 09/10/2019 18:38,Ativo,1,AP,"OpenDownloadDocumentos('240209','1','715396','IPE')"
02135-0,021350 DIRECIONAL ENGENHARIA S.A.,Fato Relevante,,Distribuição de Dividendos -,20191009 09/10/2019,20191009 09/10/2019 18:48,Ativo,1,AP,"OpenDownloadDocumentos('240216','1','715403','IPE')"
02135-0,021350 DIRECIONAL ENGENHARIA S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Prévia Operacional - 3T19 -,20191009 09/10/2019,20191009 09/10/2019 18:53,Ativo,1,AP,"OpenDownloadDocumentos('240220','1','715407','IPE')"
02146-6,021466 BANCO RCI BRASIL S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 11:56,Ativo,1,AP,"OpenDownloadDocumentos('240104','1','715290','IPE')"
02174-1,021741 ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Assembleia,AGCRA,Edital de Convocação de Assembleia de Titulares dos CRAs da 88ª Série da 1ª EmissãoEdital de Convocação,20191017 17/10/2019 10:00,20191009 09/10/2019 20:02,Ativo,1,AP,"OpenDownloadDocumentos('240236','1','715423','IPE')"
02174-1,021741 ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Assembleia,AGCRA,Proposta para Assembleia de Titulares dos CRAs da 88ª Série da 1ª EmissãoProposta para a assembleia,20191017 17/10/2019 10:00,20191009 09/10/2019 20:05,Ativo,1,AP,"OpenDownloadDocumentos('240237','1','715424','IPE')"
02190-3,021903 ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,Reunião da Administração,Conselho de Administração,Autorização para prestação da garantia junto a 1º Emissão de Debêntures da Ecoponte.Ata,20191001 01/10/2019 13:30,20191009 09/10/2019 17:29,Ativo,1,AP,"OpenDownloadDocumentos('240161','1','715347','IPE')"
02192-0,021920 BARI SECURITIZADORA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 14:19,Ativo,1,AP,"OpenDownloadDocumentos('240116','1','715302','IPE')"
02192-0,021920 BARI SECURITIZADORA S.A.,Assembleia,AGCRI,Resgate Antecipado TotalAta,20191009 09/10/2019 09:00,20191009 09/10/2019 20:10,Inativo,1,AP,"OpenDownloadDocumentos('240238','1','715425','IPE')"
02205-5,022055 MARISA LOJAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 09:54,Ativo,1,AP,"OpenDownloadDocumentos('240074','1','715260','IPE')"
02205-5,022055 MARISA LOJAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 09:55,Ativo,1,AP,"OpenDownloadDocumentos('240076','1','715262','IPE')"
02221-7,022217 ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 11:15,Ativo,1,AP,"OpenDownloadDocumentos('240097','1','715283','IPE')"
02221-7,022217 ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 11:18,Ativo,1,AP,"OpenDownloadDocumentos('240098','1','715284','IPE')"
02234-9,022349 AREZZO INDÚSTRIA E COMÉRCIO S.A.,Reunião da Administração,Conselho de Administração,Distribuição de Dividendos/Juros sobre Capital PróprioAta,20190930 30/09/2019 09:00,20191009 09/10/2019 12:07,Ativo,2,RE,"OpenDownloadDocumentos('240105','2','715291','IPE')"
02234-9,022349 AREZZO INDÚSTRIA E COMÉRCIO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 12:08,Ativo,1,AP,"OpenDownloadDocumentos('240106','1','715292','IPE')"
02234-9,022349 AREZZO INDÚSTRIA E COMÉRCIO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 12:09,Ativo,1,AP,"OpenDownloadDocumentos('240107','1','715293','IPE')"
02258-6,022586 MLOG S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 18:23,Ativo,1,AP,"OpenDownloadDocumentos('240199','1','715386','IPE')"
02261-6,022616 Banco BTG Pactual S.A.,Formulário de Referência,,,20190101 2019,20191009 09/10/2019 20:44,Inativo,14,RE,"OpenDownloadDocumentos('88625','14','022616FRE201920191400088625-75','')"
02261-6,022616 BCO BTG PACTUAL S.A.,Reunião da Administração,Conselho de Administração,Eleição de membro do Comitê de AuditoriaAta,20191001 01/10/2019 17:00,20191009 09/10/2019 20:16,Ativo,1,AP,"OpenDownloadDocumentos('240239','1','715426','IPE')"
02261-6,022616 BCO BTG PACTUAL S.A.,Reunião da Administração,Conselho de Administração,Emissão de uma Equity Linked NoteAta,20190930 30/09/2019 20:00,20191009 09/10/2019 20:23,Ativo,1,AP,"OpenDownloadDocumentos('240240','1','715427','IPE')"
02315-9,023159 BB SEGURIDADE PARTICIPAÇÕES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 15:11,Ativo,1,AP,"OpenDownloadDocumentos('240127','1','715313','IPE')"
02315-9,023159 BB SEGURIDADE PARTICIPAÇÕES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 15:30,Ativo,1,AP,"OpenDownloadDocumentos('240132','1','715318','IPE')"
02322-1,023221 SER EDUCACIONAL S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Resultado da captação de alunos 3T19 -,20191009 09/10/2019,20191009 09/10/2019 07:58,Ativo,1,AP,"OpenDownloadDocumentos('240063','1','715249','IPE')"
02322-1,023221 SER EDUCACIONAL S.A.,Relatório de Sustentabilidade,,,20181231 31/12/2018,20191009 09/10/2019 18:09,Inativo,1,AP,"OpenDownloadDocumentos('240182','1','715369','IPE')"
02322-1,023221 SER EDUCACIONAL S.A.,Relatório de Sustentabilidade,,,20181231 31/12/2018,20191009 09/10/2019 18:18,Ativo,2,RE,"OpenDownloadDocumentos('240197','2','715384','IPE')"
02326-4,023264 AMBEV S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 18:39,Ativo,1,AP,"OpenDownloadDocumentos('240211','1','715398','IPE')"
02326-4,023264 AMBEV S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 18:40,Ativo,1,AP,"OpenDownloadDocumentos('240213','1','715400','IPE')"
02326-4,023264 AMBEV S.A.,Reunião da Administração,Conselho de Administração,Aumentos de capital e Renúncia Membro Comitê de Partes Relacionadas e Condutas ConcorrenciaisAta,20191009 09/10/2019 08:30,20191009 09/10/2019 19:35,Ativo,1,AP,"OpenDownloadDocumentos('240229','1','715416','IPE')"
02326-4,023264 AMBEV S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20191009 09/10/2019 08:30,20191009 09/10/2019 19:39,Ativo,1,AP,"OpenDownloadDocumentos('240233','1','715420','IPE')"
02327-2,023272 LOG COMMERCIAL PROPERTIES,Assembleia,AGE,Mapa Final de Votação Sintético AGE 09.10.2019Mapa Final de Votação Sintético,20191009 09/10/2019 09:00,20191009 09/10/2019 18:10,Ativo,1,AP,"OpenDownloadDocumentos('240183','1','715370','IPE')"
02327-2,023272 LOG COMMERCIAL PROPERTIES,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Reorganização Societária - Incorporação, Cisão ou Fusão - Aprovação de Laudo de Avaliação,Aumento de Capital em virtude de Stock OptionsAta",20191009 09/10/2019 09:00,20191009 09/10/2019 18:23,Ativo,1,AP,"OpenDownloadDocumentos('240200','1','715387','IPE')"
02353-1,023531 CLARO TELECOM PARTICIPAÇÕES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 17:55,Ativo,1,AP,"OpenDownloadDocumentos('240168','1','715354','IPE')"
02353-1,023531 CLARO TELECOM PARTICIPAÇÕES S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 17:59,Ativo,1,AP,"OpenDownloadDocumentos('240172','1','715358','IPE')"
02359-0,023590 WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 10:54,Ativo,1,AP,"OpenDownloadDocumentos('240093','1','715279','IPE')"
02359-0,023590 WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 10:55,Ativo,1,AP,"OpenDownloadDocumentos('240094','1','715280','IPE')"
02393-0,023930 Brasiliana Participações S/A,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 15:02,Ativo,1,AP,"OpenDownloadDocumentos('240126','1','715312','IPE')"
02396-5,023965 CINESYSTEM S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191009 09/10/2019 08:22,Ativo,1,AP,"OpenDownloadDocumentos('240066','1','715252','IPE')"
02396-5,023965 CINESYSTEM S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191009 09/10/2019 08:23,Ativo,1,AP,"OpenDownloadDocumentos('240067','1','715253','IPE')"
