cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download,,
00531-2,005312 MUNDIAL S.A. - PRODUTOS DE CONSUMO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 17:26,Ativo,1,AP,"OpenDownloadDocumentos('230855','1','705053','IPE')",,
00538-0,005380 ELECTRO ACO ALTONA S.A.,Dados Econômico-Financeiros,Press-release,Dados Economicos Financeiros 2 ITR 2019 -,20190630 30/06/2019,20190809 09/08/2019 14:36,Ativo,1,AP,"OpenDownloadDocumentos('230736','1','704932','IPE')",,
00538-0,005380 ELECTRO AÇO ALTONA S/A,ITR,,,20190630 30/06/2019,20190809 09/08/2019 14:34,Ativo,1,AP,"OpenDownloadDocumentos('86242','1','005380ITR300620190100086242-73','ITR')",,
00576-2,005762 ETERNIT S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 09:53,Ativo,1,AP,"OpenDownloadDocumentos('230611','1','704799','IPE')",,
00576-2,005762 ETERNIT S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190601 06/2019,20190809 09/08/2019 19:21,Ativo,2,RE,"OpenDownloadDocumentos('231021','2','705223','IPE')",,
00576-2,005762 ETERNIT S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 19:34,Ativo,1,AP,"OpenDownloadDocumentos('231029','1','705231','IPE')",,
00577-0,005770 EUCATEX S.A. INDUSTRIA E COMERCIO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190501 05/2019,20190809 09/08/2019 21:59,Ativo,2,RE,"OpenDownloadDocumentos('231057','2','705260','IPE')",,
00577-0,005770 EUCATEX S.A. INDUSTRIA E COMERCIO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190601 06/2019,20190809 09/08/2019 22:08,Ativo,2,RE,"OpenDownloadDocumentos('231064','2','705268','IPE')",,
00577-0,005770 EUCATEX S.A. INDUSTRIA E COMERCIO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 22:11,Ativo,1,AP,"OpenDownloadDocumentos('231065','1','705269','IPE')",,
00604-1,006041 INVESTIMENTOS BEMGE S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 18:18,Ativo,1,AP,"OpenDownloadDocumentos('230942','1','705142','IPE')",,
00604-1,006041 INVESTIMENTOS BEMGE S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 18:19,Ativo,1,AP,"OpenDownloadDocumentos('230943','1','705143','IPE')",,
00617-3,006173 TAURUS ARMAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 07:32,Ativo,1,AP,"OpenDownloadDocumentos('230566','1','704751','IPE')",,
00662-9,006629 HERCULES S.A. FABRICA DE TALHERES,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 16:00,Ativo,1,AP,"OpenDownloadDocumentos('230785','1','704982','IPE')",,
00751-0,007510 INDUSTRIAS ROMI S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 08:35,Ativo,1,AP,"OpenDownloadDocumentos('230575','1','704761','IPE')",,
00761-7,007617 ITAUSA INVESTIMENTOS ITAU S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('230914','1','705113','IPE')",,
00761-7,007617 ITAUSA INVESTIMENTOS ITAU S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 18:06,Ativo,1,AP,"OpenDownloadDocumentos('230915','1','705114','IPE')",,
00808-7,008087 LOJAS AMERICANAS S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação - 2T19 -,20190809 09/08/2019,20190809 09/08/2019 14:16,Ativo,1,AP,"OpenDownloadDocumentos('230725','1','704921','IPE')",,
00813-3,008133 LOJAS RENNER S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 13:30,Ativo,1,AP,"OpenDownloadDocumentos('230701','1','704896','IPE')",,
00813-3,008133 LOJAS RENNER S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 14:57,Ativo,1,AP,"OpenDownloadDocumentos('230744','1','704940','IPE')",,
00839-7,008397 MANGELS INDUSTRIAL SA,Informe do Código de Governança,,,20191231 31/12/2019,20190809 09/08/2019 09:31,Ativo,1,AP,"OpenDownloadDocumentos('86227','1','008397CGVN20190101V01086227-71','CGVN')",,
00857-5,008575 MAHLE-METAL LEVE S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 10:04,Ativo,1,AP,"OpenDownloadDocumentos('230616','1','704804','IPE')",,
00865-6,008656 METALURGICA GERDAU S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 17:43,Ativo,1,AP,"OpenDownloadDocumentos('230865','1','705063','IPE')",,
00875-3,008753 METISA METALÚRGICA TIMBOENSE SA,ITR,,,20190630 30/06/2019,20190809 09/08/2019 18:03,Ativo,1,AP,"OpenDownloadDocumentos('86272','1','008753ITR300620190100086272-76','ITR')",,
00934-2,009342 DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 14:04,Ativo,1,AP,"OpenDownloadDocumentos('230717','1','704913','IPE')",,
00934-2,009342 DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 14:06,Inativo,1,AP,"OpenDownloadDocumentos('230719','1','704915','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Petrobras mantém nota máxima em Indicador de Governança -,20190809 09/08/2019,20190809 09/08/2019 09:40,Ativo,1,AP,"OpenDownloadDocumentos('230603','1','704791','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Fato Relevante,,Petrobras assina contrato para venda de campos em produção na Bacia Potiguar -,20190809 09/08/2019,20190809 09/08/2019 18:01,Ativo,1,AP,"OpenDownloadDocumentos('230904','1','705103','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Fato Relevante,,Petrobras divulga teaser para venda de ativos de E&P em águas rasas na Bacia de Campos -,20190809 09/08/2019,20190809 09/08/2019 18:11,Ativo,1,AP,"OpenDownloadDocumentos('230928','1','705128','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Petrobras assina acordo referente ao licenciamento ambiental do Comperj -,20190809 09/08/2019,20190809 09/08/2019 18:48,Ativo,1,AP,"OpenDownloadDocumentos('230984','1','705186','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Assembleia,AGE,"I. Eleição dos seguintes membros do Conselho de Administração, indicados pela União, em atenção ao artigo 150 da Lei nº 6.404/76: - Sr. Nivio Ziviani; e - Sr. Walter Mendes de Oliveira Filho.,II. Retirada do regime de oferta pública e deslistagem das ações da Petróleo Brasileiro S.ASumário das Decisões",20190809 09/08/2019 15:00,20190809 09/08/2019 20:05,Ativo,1,AP,"OpenDownloadDocumentos('231035','1','705237','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Petrobras aprova a deslistagem de suas ações na bolsa Argentina -,20190809 09/08/2019,20190809 09/08/2019 20:24,Ativo,1,AP,"OpenDownloadDocumentos('231038','1','705240','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Assembleia,AGE,MAPA SINTÉTICO CONSOLIDADO FINALMapa Final de Votação Sintético,20190809 09/08/2019 15:00,20190809 09/08/2019 20:45,Ativo,1,AP,"OpenDownloadDocumentos('231043','1','705245','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Informação Prestada às Bolsas Estrangeiras,,DFP 2T19 US$ Português -,20190630 30/06/2019,20190809 09/08/2019 20:48,Ativo,1,AP,"OpenDownloadDocumentos('231044','1','705246','IPE')",,
00951-2,009512 PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Formulário de Referência,,,20190101 2019,20190809 09/08/2019 11:56,Inativo,14,RE,"OpenDownloadDocumentos('86238','14','009512FRE201920191400086238-78','')",,
00971-7,009717 PORTUENSE FERRAGENS S/A,ITR,,,20190630 30/06/2019,20190809 09/08/2019 12:05,Ativo,1,AP,"OpenDownloadDocumentos('86239','1','009717ITR300620190100086239-71','ITR')",,
00995-4,009954 ALFA HOLDINGS SA,ITR,,,20190630 30/06/2019,20190809 09/08/2019 09:58,Ativo,1,AP,"OpenDownloadDocumentos('86228','1','009954ITR300620190100086228-74','ITR')",,
01045-6,010456 ALPARGATAS S.A.,Dados Econômico-Financeiros,Press-release,Press-release resultados 2T19 -,20190809 09/08/2019,20190809 09/08/2019 19:12,Cancelado,1,AP,"OpenDownloadDocumentos('231009','1','705211','IPE')",,
01045-6,010456 ALPARGATAS S.A.,Reunião da Administração,Conselho de Administração,"APROVAÇÃO RESULTADOS DO 2º TRIMESTRE DE 2019,DISPENSA DE PUBLICAÇÃO DE FATO RELEVANTE EM JORNAL,PROPOSTA DO CONSELHO DE ADMINISTRAÇÃO A SER APRESENTADA À ASSEMBLEIA GERAL EXTRAORDINÁRIA,CONVOCAÇÃO DA ASSEMBLEIA GERAL EXTRAORDINÁRIAAta",20190809 09/08/2019 10:00,20190809 09/08/2019 19:12,Ativo,1,AP,"OpenDownloadDocumentos('231010','1','705212','IPE')",,
01045-6,010456 ALPARGATAS S.A.,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,aumentar o número de membros do Conselho de AdministraçãoEdital de Convocação",20190830 30/08/2019 10:00,20190809 09/08/2019 19:23,Ativo,1,AP,"OpenDownloadDocumentos('231023','1','705225','IPE')",,
01045-6,010456 ALPARGATAS S.A.,Assembleia,AGE,Manual para participação,20190830 30/08/2019 10:00,20190809 09/08/2019 19:23,Ativo,1,AP,"OpenDownloadDocumentos('231024','1','705226','IPE')",,
01045-6,010456 ALPARGATAS S.A.,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,aumentar o número de membros do Conselho de AdministraçãoProposta da Administração",20190830 30/08/2019 10:00,20190809 09/08/2019 19:23,Ativo,1,AP,"OpenDownloadDocumentos('231025','1','705227','IPE')",,
01045-6,010456 ALPARGATAS S.A.,Fato Relevante,,Alteração veiculo de publicação -,20190809 09/08/2019,20190809 09/08/2019 19:23,Ativo,1,AP,"OpenDownloadDocumentos('231026','1','705228','IPE')",,
01045-6,010456 ALPARGATAS S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20190809 09/08/2019 21:54,Inativo,3,RE,"OpenDownloadDocumentos('231056','3','705259','IPE')",,
01045-6,010456 ALPARGATAS S.A.,ITR,,,20190630 30/06/2019,20190809 09/08/2019 18:54,Ativo,1,AP,"OpenDownloadDocumentos('86276','1','010456ITR300620190100086276-75','ITR')",,
01056-1,010561 SEIVA S.A. - FLORESTAS E INDÚSTRIAS,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 17:28,Ativo,1,AP,"OpenDownloadDocumentos('230856','1','705054','IPE')",,
01123-1,011231 TEKNO S.A. - INDUSTRIA E COMERCIO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190601 06/2019,20190809 09/08/2019 09:19,Ativo,2,RE,"OpenDownloadDocumentos('230594','2','704781','IPE')",,
01123-1,011231 TEKNO S.A. - INDUSTRIA E COMERCIO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 09:42,Ativo,1,AP,"OpenDownloadDocumentos('230605','1','704793','IPE')",,
01159-2,011592 UNIPAR CARBOCLORO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 09:31,Ativo,1,AP,"OpenDownloadDocumentos('230601','1','704788','IPE')",,
01159-2,011592 UNIPAR CARBOCLORO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 09:33,Ativo,1,AP,"OpenDownloadDocumentos('230602','1','704790','IPE')",,
01159-2,011592 UNIPAR CARBOCLORO S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Sumário de Resultados da Unipar Indupa S.A.I.C. -,20190809 09/08/2019,20190809 09/08/2019 18:21,Ativo,1,AP,"OpenDownloadDocumentos('230948','1','705150','IPE')",,
01176-2,011762 VULCABRAS/AZALEIA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 09:49,Ativo,1,AP,"OpenDownloadDocumentos('230607','1','704795','IPE')",,
01176-2,011762 VULCABRAS/AZALEIA S.A.,Formulário de Referência,,,20190101 2019,20190809 09/08/2019 10:55,Inativo,2,RE,"OpenDownloadDocumentos('86232','2','011762FRE201920190200086232-68','')",,
01176-2,011762 VULCABRAS/AZALEIA S.A.,Formulário Cadastral,,,20190101 2019,20190809 09/08/2019 10:48,Inativo,2,RE,"OpenDownloadDocumentos('86230','2','011762FCA000020190200086230-73','FCA')",,
01193-2,011932 IOCHPE MAXION S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190601 06/2019,20190809 09/08/2019 16:28,Ativo,2,RE,"OpenDownloadDocumentos('230803','2','705000','IPE')",,
01193-2,011932 IOCHPE MAXION S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 17:20,Ativo,1,AP,"OpenDownloadDocumentos('230847','1','705045','IPE')",,
01193-2,011932 IOCHPE MAXION S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 17:22,Ativo,1,AP,"OpenDownloadDocumentos('230849','1','705047','IPE')",,
01219-0,012190 BOMBRIL S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 20:09,Ativo,1,AP,"OpenDownloadDocumentos('231036','1','705238','IPE')",,
01219-0,012190 BOMBRIL S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 20:10,Ativo,1,AP,"OpenDownloadDocumentos('231037','1','705239','IPE')",,
01219-0,012190 BOMBRIL S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,20190809 09/08/2019,20190809 09/08/2019 20:31,Ativo,1,AP,"OpenDownloadDocumentos('231040','1','705242','IPE')",,
01219-0,012190 BOMBRIL S.A.,Reunião da Administração,Conselho Fiscal,"(i) analisar e discutir as informações trimestrais, incluindo as notas explicativas, referentes ao 2º trimestre de 2019 (“2ITR”), o relatório da administração relativo ao mesmo período, bem como o corAta",20190807 07/08/2019 14:00,20190809 09/08/2019 21:08,Ativo,1,AP,"OpenDownloadDocumentos('231050','1','705252','IPE')",,
01219-0,012190 BOMBRIL S.A.,Reunião da Administração,Conselho de Administração,"(i) examinar e discutir as informações trimestrais, incluindo as notas explicativas, referentes e o relatório da administração, referentes ao 2º trimestre de 2019, bem como o correspondente relatório Ata",20190807 07/08/2019 10:00,20190809 09/08/2019 21:10,Ativo,1,AP,"OpenDownloadDocumentos('231051','1','705253','IPE')",,
01219-0,012190 BOMBRIL SA,Formulário de Referência,,,20190101 2019,20190809 09/08/2019 21:04,Inativo,3,RE,"OpenDownloadDocumentos('86282','3','012190FRE201920190300086282-77','')",,
01231-9,012319 INDUSTRIAS J B DUARTE S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,ESCLARECIMENTO SOBRE O PAGAMENTO DOS DIVIDENDOS -,20190809 09/08/2019,20190809 09/08/2019 18:36,Ativo,1,AP,"OpenDownloadDocumentos('230968','1','705170','IPE')",,
01253-0,012530 ITAUTEC S.A. - GRUPO ITAUTEC,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 17:59,Ativo,1,AP,"OpenDownloadDocumentos('230899','1','705098','IPE')",,
01253-0,012530 ITAUTEC S.A. - GRUPO ITAUTEC,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 18:00,Ativo,1,AP,"OpenDownloadDocumentos('230902','1','705101','IPE')",,
01257-2,012572 RECRUSUL SA,ITR,,,20190630 30/06/2019,20190809 09/08/2019 17:45,Inativo,1,AP,"OpenDownloadDocumentos('86265','1','012572ITR300620190100086265-76','ITR')",,
01265-3,012653 KLABIN S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 17:39,Ativo,1,AP,"OpenDownloadDocumentos('230863','1','705061','IPE')",,
01269-6,012696 SANSUY SA INDÚSTRIA DE PLASTICOS,Informe do Código de Governança,,,20191231 31/12/2019,20190809 09/08/2019 17:05,Ativo,1,AP,"OpenDownloadDocumentos('86257','1','012696CGVN20190101V01086257-87','CGVN')",,
01347-1,013471 PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,Formulário de Referência,,,20190101 2019,20190809 09/08/2019 09:28,Ativo,2,RE,"OpenDownloadDocumentos('86226','2','013471FRE201920190200086226-72','')",,
01377-3,013773 PBG S/A,Dados Econômico-Financeiros,Demonstrações Financeiras em Padrões Internacionais,Versão em InglêsDemonstrações Financeiras em IFRS,20190630 30/06/2019,20190809 09/08/2019 21:59,Ativo,1,AP,"OpenDownloadDocumentos('231058','1','705261','IPE')",,
01377-3,013773 PBG S/A,Dados Econômico-Financeiros,Press-release,Press Release - Português e Inglês -,20190630 30/06/2019,20190809 09/08/2019 22:05,Inativo,1,AP,"OpenDownloadDocumentos('231061','1','705264','IPE')",,
01377-3,013773 PBG S/A,ITR,,,20190630 30/06/2019,20190809 09/08/2019 21:56,Ativo,1,AP,"OpenDownloadDocumentos('86284','1','013773ITR300620190100086284-70','ITR')",,
01398-6,013986 SUZANO S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultados 2T19 -,20190909 09/09/2019,20190809 09/08/2019 09:02,Ativo,1,AP,"OpenDownloadDocumentos('230587','1','704774','IPE')",,
01398-6,013986 SUZANO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20181201 12/2018,20190809 09/08/2019 15:54,Ativo,3,RE,"OpenDownloadDocumentos('230778','3','704975','IPE')",,
01398-6,013986 SUZANO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 16:12,Ativo,1,AP,"OpenDownloadDocumentos('230795','1','704992','IPE')",,
01398-6,013986 SUZANO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 16:17,Ativo,1,AP,"OpenDownloadDocumentos('230797','1','704994','IPE')",,
01421-4,014214 DIBENS LEASING S.A. - ARREND.MERCANTIL,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 18:22,Ativo,1,AP,"OpenDownloadDocumentos('230953','1','705155','IPE')",,
01421-4,014214 DIBENS LEASING S.A. - ARREND.MERCANTIL,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 18:24,Ativo,1,AP,"OpenDownloadDocumentos('230955','1','705157','IPE')",,
01430-3,014303 SNB PARTICIPACOES SA,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias,Informações Trimestrais - 2T2019 -,20190630 30/06/2019,20190809 09/08/2019 17:37,Ativo,1,AP,"OpenDownloadDocumentos('230861','1','705059','IPE')",,
01430-3,014303 SNB PARTICIPACOES SA,ITR,,,20190630 30/06/2019,20190809 09/08/2019 17:37,Ativo,1,AP,"OpenDownloadDocumentos('86263','1','014303ITR300620190100086263-77','ITR')",,
01431-1,014311 CIA PARANAENSE DE ENERGIA - COPEL,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 14:59,Ativo,1,AP,"OpenDownloadDocumentos('230745','1','704941','IPE')",,
01436-2,014362 CIA ENERGETICA DE PERNAMBUCO - CELPE,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190601 06/2019,20190809 09/08/2019 14:15,Ativo,2,RE,"OpenDownloadDocumentos('230724','2','704920','IPE')",,
01436-2,014362 CIA ENERGETICA DE PERNAMBUCO - CELPE,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 16:04,Ativo,1,AP,"OpenDownloadDocumentos('230788','1','704985','IPE')",,
01444-3,014443 CIA SANEAMENTO BASICO EST SAO PAULO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 18:30,Ativo,1,AP,"OpenDownloadDocumentos('230965','1','705167','IPE')",,
01446-0,014460 CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 09:00,Inativo,1,AP,"OpenDownloadDocumentos('230583','1','704769','IPE')",,
01446-0,014460 CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 09:42,Ativo,2,RE,"OpenDownloadDocumentos('230604','2','704792','IPE')",,
01452-4,014524 CIA ELETRICIDADE EST. DA BAHIA - COELBA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190101 01/2019,20190809 09/08/2019 14:32,Ativo,3,RE,"OpenDownloadDocumentos('230733','3','704929','IPE')",,
01452-4,014524 CIA ELETRICIDADE EST. DA BAHIA - COELBA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190401 04/2019,20190809 09/08/2019 14:45,Ativo,2,RE,"OpenDownloadDocumentos('230738','2','704934','IPE')",,
01452-4,014524 CIA ELETRICIDADE EST. DA BAHIA - COELBA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190501 05/2019,20190809 09/08/2019 14:49,Ativo,2,RE,"OpenDownloadDocumentos('230741','2','704937','IPE')",,
01452-4,014524 CIA ELETRICIDADE EST. DA BAHIA - COELBA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190601 06/2019,20190809 09/08/2019 15:02,Ativo,2,RE,"OpenDownloadDocumentos('230746','2','704942','IPE')",,
01452-4,014524 CIA ELETRICIDADE EST. DA BAHIA - COELBA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 16:05,Ativo,1,AP,"OpenDownloadDocumentos('230789','1','704986','IPE')",,
01460-5,014605 ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,Reunião da Administração,Conselho Fiscal,Aprova Regimento interno do Conselho Fiscal e eleição do presidente do conselho fiscalAta,20190808 08/08/2019 18:30,20190809 09/08/2019 10:11,Ativo,1,AP,"OpenDownloadDocumentos('230621','1','704809','IPE')",,
01461-3,014613 NEUMARKT TRADE AND FINANCIAL CENTER S/A,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias,Informações Trimestrais - 2T2019 -,20190630 30/06/2019,20190809 09/08/2019 11:35,Ativo,1,AP,"OpenDownloadDocumentos('230648','1','704836','IPE')",,
01461-3,014613 NEUMARKT TRADE AND FINANCIAL CENTER S/A,ITR,,,20190630 30/06/2019,20190809 09/08/2019 11:34,Ativo,1,AP,"OpenDownloadDocumentos('86237','1','014613ITR300620190100086237-71','ITR')",,
01476-1,014761 CIA HERING,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 09:23,Ativo,1,AP,"OpenDownloadDocumentos('230595','1','704782','IPE')",,
01476-1,014761 CIA HERING,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 09:25,Ativo,1,AP,"OpenDownloadDocumentos('230597','1','704784','IPE')",,
01482-6,014826 CIA BRASILEIRA DE DISTRIBUICAO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190809 09/08/2019 15:22,Ativo,1,AP,"OpenDownloadDocumentos('230763','1','704960','IPE')",,
01482-6,014826 CIA BRASILEIRA DE DISTRIBUICAO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190809 09/08/2019 16:32,Ativo,1,AP,"OpenDownloadDocumentos('230805','1','705002','IPE')",,
01482-6,014826 CIA BRASILEIRA DE DISTRIBUICAO,Fato Relevante,,Emissão de debêntures -,20190809 09/08/2019,20190809 09/08/2019 18:47,Ativo,1,AP,"OpenDownloadDocumentos('230982','1','705184','IPE')",,
