cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download
02091-5,020915 MRV ENGENHARIA E PARTICIPACOES S.A.,Fato Relevante,,"Avaliação da Oportunidade de Aquisição de Participação Primária na AHS, -",20190903 03/09/2019,20190903 03/09/2019 23:45,Ativo,1,AP,"OpenDownloadDocumentos('234637','1','709276','IPE')"
02101-6,021016 ESTACIO PARTICIPACOES S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Expansão de vagas de medicina em Juazeiro/BA, -",20190903 03/09/2019,20190903 03/09/2019 16:57,Ativo,1,AP,"OpenDownloadDocumentos('234569','1','709205','IPE')"
02102-4,021024 CONC ROD.OESTE SP VIAOESTE S.A,Assembleia,AGE,"Renúncia dos Senhores EDUARDO DE TOLEDO, PAULO Y FUKUZAKI E ARTHUR P FILHO, como membros efetivos do Conselho de Administração da Companhia e deliberar sobre a eleição de seus respectivos substitutos,Ata",20190903 03/09/2019 10:00,20190903 03/09/2019 18:07,Ativo,1,AP,"OpenDownloadDocumentos('234608','1','709247','IPE')"
02104-0,021040 CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Fato Relevante,,"Acordo de investimento Delivery Center Holding S.A., -",20190903 03/09/2019,20190903 03/09/2019 20:10,Ativo,1,AP,"OpenDownloadDocumentos('234632','1','709271','IPE')"
02112-1,021121 SUL AMERICA S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",20190903 03/09/2019,20190903 03/09/2019 18:22,Ativo,1,AP,"OpenDownloadDocumentos('234612','1','709251','IPE')"
02123-7,021237 ENEVA S.A,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Notícia divulgada na mídia, -",20190903 03/09/2019,20190903 03/09/2019 18:48,Ativo,1,AP,"OpenDownloadDocumentos('234614','1','709253','IPE')"
02149-0,021490 ALUPAR INVESTIMENTO S/A,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20190903 03/09/2019 18:08,Ativo,6,RE,"OpenDownloadDocumentos('234610','6','709249','IPE')"
02155-5,021555 UNIDAS S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Renúncia do Sr. Francisco Nuno Pontes Correia Neves ao cargo de Conselheiro de Administração da Unidas S.A., -",20190903 03/09/2019,20190903 03/09/2019 18:25,Ativo,1,AP,"OpenDownloadDocumentos('234613','1','709252','IPE')"
02174-1,021741 ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Comunicado ao Mercado dos CRAs da Série 144ª da 1ª Emissão, -",20190903 03/09/2019,20190903 03/09/2019 19:21,Ativo,1,AP,"OpenDownloadDocumentos('234626','1','709265','IPE')"
02192-0,021920 BARIGUI SECURITIZADORA S.A.,Termo de Securitização e Aditamentos de Direitos Creditórios,,"Termo de Securitização da 72ª Série da 1ª Emissão da Barigui Securitizadora S.A., -",20190823 23/08/2019,20190903 03/09/2019 15:35,Ativo,1,AP,"OpenDownloadDocumentos('234549','1','709179','IPE')"
02192-0,021920 BARIGUI SECURITIZADORA S.A.,Formulário de Referência,,,20190101 2019,20190903 03/09/2019 17:02,Inativo,4,RE,"OpenDownloadDocumentos('87123','4','021920FRE201920190400087123-73','')"
02202-0,022020 JSL S.A.,Reunião da Administração,Conselho de Administração,"Emissão de Valores Mobiliários,Ata",20190829 29/08/2019 17:00,20190903 03/09/2019 18:56,Ativo,1,AP,"OpenDownloadDocumentos('234618','1','709257','IPE')"
02202-0,022020 JSL S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20190829 29/08/2019 17:00,20190903 03/09/2019 19:01,Ativo,1,AP,"OpenDownloadDocumentos('234621','1','709260','IPE')"
02227-6,022276 TRUE SECURITIZADORA S.A.,Assembleia,AGCRA,"Termo de Não Instalação da Assembleia Geral Extraordinária dos Titulares de CRA da 9ª Série da 1ª Emissão,Sumário das Decisões",20190903 03/09/2019 11:00,20190903 03/09/2019 15:29,Ativo,1,AP,"OpenDownloadDocumentos('234546','1','709176','IPE')"
02227-6,022276 TRUE SECURITIZADORA S.A.,Assembleia,AGCRI,"Edital de Convocação de Assembleia Geral Extraordinária de Titulares dos CRI da 134ª Série da 1ª Emissão da True Securitizadora S.A.,Edital de Convocação",20190924 24/09/2019 11:00,20190903 03/09/2019 15:35,Cancelado,1,AP,"OpenDownloadDocumentos('234548','1','709178','IPE')"
02227-6,022276 TRUE SECURITIZADORA S.A.,Assembleia,AGCRI,"Proposta da Administração para Assembleia Geral Extraordinária de Titulares dos CRI da 134ª Série da 1ª Emissão da True Securitizadora S.A.,Proposta para a assembleia",20190924 24/09/2019 11:00,20190903 03/09/2019 16:17,Ativo,1,AP,"OpenDownloadDocumentos('234559','1','709196','IPE')"
02258-6,022586 MLOG S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Renúncia de membro de Conselho de Administração, -",20190903 03/09/2019,20190903 03/09/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('234607','1','709246','IPE')"
02272-1,022721 CONC RODOVIAS DO TIETÊ S.A.,Assembleia,AGDEB,"Reestruturação das Debêntures,Ata",20190903 03/09/2019 10:00,20190903 03/09/2019 14:37,Ativo,1,AP,"OpenDownloadDocumentos('234534','1','709161','IPE')"
02279-9,022799 SINQIA S.A.,Assembleia,AGE,"Termo de não instalação da AGE de 03/09/2019,Ata",20190903 03/09/2019 11:00,20190903 03/09/2019 11:23,Ativo,1,AP,"OpenDownloadDocumentos('234519','1','709144','IPE')"
02300-0,023000 Light Energia S.A.,Reunião da Administração,Conselho de Administração,"Renegociação de dívida com Citibank,Ata",20190830 30/08/2019 13:00,20190903 03/09/2019 12:10,Ativo,1,AP,"OpenDownloadDocumentos('234526','1','709153','IPE')"
02303-5,023035 LINX S.A.,Assembleia,AGE,"Mapa sintético de boletim de voto a distância enviado pelo escriturador,Mapa do Escriturador",20190905 05/09/2019 14:00,20190903 03/09/2019 17:40,Ativo,1,AP,"OpenDownloadDocumentos('234594','1','709232','IPE')"
02315-9,023159 BB SEGURIDADE PARTICIPAÇÕES S.A.,Carta Anual de Governança Corporativa,Carta consolidada de políticas públicas e governança corporativa (Decreto Federal 8.945/16),,20190525 25/05/2019,20190903 03/09/2019 17:25,Ativo,1,AP,"OpenDownloadDocumentos('234590','1','709228','IPE')"
02315-9,023159 BB Seguridade Participações S.A.,Formulário de Referência,,,20190101 2019,20190903 03/09/2019 10:39,Inativo,5,RE,"OpenDownloadDocumentos('87112','5','023159FRE201920190500087112-79','')"
02317-5,023175 IGUA SANEAMENTO S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190903 03/09/2019 12:45,Ativo,1,AP,"OpenDownloadDocumentos('234528','1','709155','IPE')"
02349-3,023493 DOMMO ENERGIA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Produção mensal de petróleo: agosto de 2019, -",20190903 03/09/2019,20190903 03/09/2019 18:08,Ativo,1,AP,"OpenDownloadDocumentos('234609','1','709248','IPE')"
02367-1,023671 Linhas de Xingu Transmissora de Energia S/A,Assembleia,AGE,"alteração do Estatuto para refletir troca de Diretores,Ata",20190903 03/09/2019 11:00,20190903 03/09/2019 18:51,Ativo,1,AP,"OpenDownloadDocumentos('234615','1','709254','IPE')"
02367-1,023671 Linhas de Xingu Transmissora de Energia S/A,Reunião da Administração,Conselho de Administração,"Eleição de Diretor(es),Ata",20190903 03/09/2019 10:00,20190903 03/09/2019 18:57,Ativo,1,AP,"OpenDownloadDocumentos('234619','1','709258','IPE')"
02368-0,023680 Linhas de Macapá Transmissora de Energia S/A,Reunião da Administração,Conselho de Administração,"Eleição de Diretor(es),Ata",20190903 03/09/2019 10:00,20190903 03/09/2019 19:01,Ativo,1,AP,"OpenDownloadDocumentos('234622','1','709261','IPE')"
02368-0,023680 Linhas de Macapá Transmissora de Energia S/A,Assembleia,AGE,"alteração diretoria,Ata",20190903 03/09/2019 11:00,20190903 03/09/2019 19:13,Ativo,1,AP,"OpenDownloadDocumentos('234624','1','709263','IPE')"
02371-0,023710 BR HOME CENTERS S.A.,Formulário Cadastral,,,20190101 2019,20190903 03/09/2019 16:40,Inativo,2,RE,"OpenDownloadDocumentos('87121','2','023710FCA000020190200087121-74','FCA')"
02405-8,024058 CENTRO DE IMAGEM DIAGNOSTICOS S.A.,Escrituras e aditamentos de debêntures,,"Escritura da 2ª (segunda) emissão de debêntures, -",20190725 25/07/2019,20190903 03/09/2019 17:12,Ativo,1,AP,"OpenDownloadDocumentos('234579','1','709216','IPE')"
02405-8,024058 CENTRO DE IMAGEM DIAGNOSTICOS S.A.,Escrituras e aditamentos de debêntures,,"1º Aditamento Escritura Particular da 2ª emissão de debêntures, -",20190807 07/08/2019,20190903 03/09/2019 17:12,Ativo,1,AP,"OpenDownloadDocumentos('234580','1','709217','IPE')"
02418-0,024180 IRB - BRASIL RESSEGUROS S.A.,Reunião da Administração,Conselho de Administração,"Eleição dos novos membros dos Comitês subordinados ao Conselho de Administração,Ata",20190923 23/09/2019 10:00,20190903 03/09/2019 17:40,Ativo,1,AP,"OpenDownloadDocumentos('234595','1','709233','IPE')"
02418-0,024180 IRB – Brasil Resseguros S/A,Formulário de Referência,,,20190101 2019,20190903 03/09/2019 18:58,Inativo,16,RE,"OpenDownloadDocumentos('87130','16','024180FRE201920191600087130-84','')"
02426-0,024260 SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190801 08/2019,20190903 03/09/2019 16:19,Ativo,1,AP,"OpenDownloadDocumentos('234560','1','709197','IPE')"
02426-0,024260 SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190903 03/09/2019 16:20,Ativo,1,AP,"OpenDownloadDocumentos('234561','1','709198','IPE')"
02449-0,024490 Saber Serviços Educacionais S.A,Assembleia,AGE,"Aumento do Capital Social (inciso I, art. 166 da Lei 6404),Ata",20190902 02/09/2019 10:00,20190903 03/09/2019 19:03,Ativo,2,RE,"OpenDownloadDocumentos('234623','2','709262','IPE')"
02449-0,024490 Saber Serviços Educacionais S.A,Formulário de Referência,,,20190101 2019,20190903 03/09/2019 16:14,Inativo,4,RE,"OpenDownloadDocumentos('87120','4','024490FRE201920190400087120-71','')"
02453-8,024538 Geru Securitizadora de Créditos Financeiros S.A,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190903 03/09/2019 19:43,Ativo,1,AP,"OpenDownloadDocumentos('234627','1','709266','IPE')"
02466-0,024660 BBM LOGISTICA S.A.,Reunião da Administração,Conselho de Administração,"Aprovação de contrato com partes relacionadas,Ata",20190827 27/08/2019 14:00,20190903 03/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('234516','1','709139','IPE')"
02472-4,024724 COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.,Reunião da Administração,Conselho de Administração,"Emissão de Valores Mobiliários,Ata",20190826 26/08/2019 10:00,20190903 03/09/2019 08:28,Ativo,1,AP,"OpenDownloadDocumentos('234497','1','709120','IPE')"
02472-4,024724 COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.,Termo de Securitização e Aditamentos de Direitos Creditórios,,"Termo de securitização - 13ª emissão de Certificado de Recebíveis do Agronegócio, -",20190827 27/08/2019,20190903 03/09/2019 08:30,Inativo,1,AP,"OpenDownloadDocumentos('234499','1','709122','IPE')"
02475-9,024759 LITELA PARTICIPAÇÕES S.A.,Assembleia,AGE,"Reforma Estatutária,Ata",20190819 19/08/2019 11:00,20190903 03/09/2019 15:23,Ativo,1,AP,"OpenDownloadDocumentos('234545','1','709175','IPE')"
02476-7,024767 Ventos do Sul Energia S.A.,Assembleia,AGE,"Reforma Estatutária,Ata",20190809 09/08/2019 14:00,20190903 03/09/2019 15:41,Inativo,1,AP,"OpenDownloadDocumentos('236125','1','709185','IPE')"
02476-7,024767 Ventos do Sul Energia S.A.,Assembleia,AGE,"Reforma Estatutária,Ata",20190628 28/06/2019 14:00,20190903 03/09/2019 16:01,Inativo,1,AP,"OpenDownloadDocumentos('236128','1','709191','IPE')"
02476-7,024767 VENTOS DO SUL ENERGIA S.A.,DFP,,,20181231 31/12/2018,20190903 03/09/2019 15:57,Inativo,1,AP,"OpenDownloadDocumentos('85300','1','090794DFP311220180100085300-70','DFP')"
02476-7,024767 VENTOS DO SUL ENERGIA S.A.,ITR,,,20190630 30/06/2019,20190903 03/09/2019 15:39,Inativo,1,AP,"OpenDownloadDocumentos('87118','1','090794ITR300620190100087118-84','ITR')"
02476-7,024767 VENTOS DO SUL ENERGIA S.A.,ITR,,,20190331 31/03/2019,20190903 03/09/2019 15:38,Inativo,1,AP,"OpenDownloadDocumentos('85301','1','090794ITR310320190100085301-78','ITR')"
02476-7,024767 VENTOS DO SUL ENERGIA S.A.,Formulário de Referência,,,20190101 2019,20190903 03/09/2019 15:30,Inativo,1,AP,"OpenDownloadDocumentos('85297','1','090794FRE201920190100085297-70','')"
02476-7,024767 VENTOS DO SUL ENERGIA S.A.,Formulário Cadastral,,,20190101 2019,20190903 03/09/2019 15:18,Inativo,1,AP,"OpenDownloadDocumentos('85296','1','090794FCA000020190100085296-72','FCA')"
05004-0,050040 PFIZER INC.,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final , -",20190903 03/09/2019,20190903 03/09/2019 14:44,Ativo,1,AP,"OpenDownloadDocumentos('234535','1','709162','IPE')"
05005-9,050059 BANK OF AMERICA CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190903 03/09/2019,20190903 03/09/2019 10:47,Ativo,1,AP,"OpenDownloadDocumentos('234509','1','709132','IPE')"
05006-7,050067 WALMART INC.,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final , -",20190903 03/09/2019,20190903 03/09/2019 14:32,Ativo,1,AP,"OpenDownloadDocumentos('234533','1','709160','IPE')"
05009-1,050091 GOLDMAN SACHS GROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190903 03/09/2019,20190903 03/09/2019 16:58,Ativo,1,AP,"OpenDownloadDocumentos('234570','1','709207','IPE')"
05010-5,050105 CITIGROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190903 03/09/2019,20190903 03/09/2019 10:47,Ativo,1,AP,"OpenDownloadDocumentos('234508','1','709131','IPE')"
05010-5,050105 CITIGROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B8, -",20190903 03/09/2019,20190903 03/09/2019 10:51,Ativo,1,AP,"OpenDownloadDocumentos('234512','1','709135','IPE')"
05010-5,050105 CITIGROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190903 03/09/2019,20190903 03/09/2019 16:57,Ativo,1,AP,"OpenDownloadDocumentos('234568','1','709206','IPE')"
05010-5,050105 CITIGROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190903 03/09/2019,20190903 03/09/2019 17:05,Ativo,1,AP,"OpenDownloadDocumentos('234574','1','709211','IPE')"
05010-5,050105 CITIGROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B8, -",20190903 03/09/2019,20190903 03/09/2019 17:14,Ativo,1,AP,"OpenDownloadDocumentos('234587','1','709224','IPE')"
05013-0,050130 WELLS FARGO COMPANY,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final , -",20190903 03/09/2019,20190903 03/09/2019 15:20,Ativo,1,AP,"OpenDownloadDocumentos('234544','1','709174','IPE')"
05013-0,050130 WELLS FARGO COMPANY,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190903 03/09/2019,20190903 03/09/2019 16:54,Ativo,1,AP,"OpenDownloadDocumentos('234566','1','709203','IPE')"
05013-0,050130 WELLS FARGO COMPANY,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190903 03/09/2019,20190903 03/09/2019 17:13,Ativo,1,AP,"OpenDownloadDocumentos('234586','1','709223','IPE')"
05016-4,050164 INTEL CORPORATION,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final , -",20190903 03/09/2019,20190903 03/09/2019 15:08,Ativo,1,AP,"OpenDownloadDocumentos('234540','1','709167','IPE')"
05039-3,050393 THE WALT DISNEY COMPANY,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190903 03/09/2019,20190903 03/09/2019 16:11,Ativo,1,AP,"OpenDownloadDocumentos('234558','1','709195','IPE')"
05047-4,050474 FORD MOTORS,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final , -",20190903 03/09/2019,20190903 03/09/2019 14:58,Ativo,1,AP,"OpenDownloadDocumentos('234538','1','709165','IPE')"
05052-0,050520 CONOCOPHILLIPS,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final , -",20190903 03/09/2019,20190903 03/09/2019 14:51,Ativo,1,AP,"OpenDownloadDocumentos('234537','1','709164','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190903 03/09/2019,20190903 03/09/2019 10:46,Ativo,1,AP,"OpenDownloadDocumentos('234507','1','709130','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190903 03/09/2019,20190903 03/09/2019 10:51,Ativo,1,AP,"OpenDownloadDocumentos('234511','1','709134','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190903 03/09/2019,20190903 03/09/2019 16:54,Ativo,1,AP,"OpenDownloadDocumentos('234565','1','709202','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190903 03/09/2019,20190903 03/09/2019 16:57,Ativo,1,AP,"OpenDownloadDocumentos('234567','1','709204','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"25-NSE, -",20190903 03/09/2019,20190903 03/09/2019 17:05,Ativo,1,AP,"OpenDownloadDocumentos('234576','1','709213','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B8, -",20190903 03/09/2019,20190903 03/09/2019 17:13,Ativo,1,AP,"OpenDownloadDocumentos('234583','1','709220','IPE')"
05106-3,051063 THE KRAFT HEINZ COMPANY,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190903 03/09/2019,20190903 03/09/2019 16:08,Ativo,1,AP,"OpenDownloadDocumentos('234557','1','709194','IPE')"
05139-0,051390 SPRINT CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190903 03/09/2019,20190903 03/09/2019 17:13,Ativo,1,AP,"OpenDownloadDocumentos('234585','1','709222','IPE')"
05160-8,051608 CANADIAN PACIFIC RAILWAY LTD,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"SC 13G/A, -",20190903 03/09/2019,20190903 03/09/2019 17:04,Ativo,1,AP,"OpenDownloadDocumentos('234573','1','709210','IPE')"
05165-9,051659 CHURCH & DWIGHT CO INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190903 03/09/2019,20190903 03/09/2019 16:53,Ativo,1,AP,"OpenDownloadDocumentos('234564','1','709201','IPE')"
05171-3,051713 CSX CORP,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190903 03/09/2019,20190903 03/09/2019 10:48,Ativo,1,AP,"OpenDownloadDocumentos('234510','1','709133','IPE')"
05173-0,051730 DEERE & CO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190903 03/09/2019,20190903 03/09/2019 10:51,Ativo,1,AP,"OpenDownloadDocumentos('234514','1','709137','IPE')"
05173-0,051730 DEERE & CO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B3, -",20190903 03/09/2019,20190903 03/09/2019 17:05,Ativo,1,AP,"OpenDownloadDocumentos('234575','1','709212','IPE')"
05199-3,051993 NEXTERA ENERGY INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"25-NSE, -",20190903 03/09/2019,20190903 03/09/2019 17:13,Ativo,1,AP,"OpenDownloadDocumentos('234584','1','709221','IPE')"
05220-5,052205 VERTEX PHARMACEUTICALS INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190903 03/09/2019,20190903 03/09/2019 10:51,Ativo,1,AP,"OpenDownloadDocumentos('234513','1','709136','IPE')"
08004-7,080047 WILSON SONS LIMITED,Formulário de Referência,,,20190101 2019,20190903 03/09/2019 18:18,Ativo,2,RE,"OpenDownloadDocumentos('87129','2','080047FRE201920190200087129-75','')"
08006-3,080063 BCO PATAGONIA S.A.,Fato Relevante,,"Descontinuidade do Programa de BDRs, -",20190903 03/09/2019,20190903 03/09/2019 17:09,Ativo,1,AP,"OpenDownloadDocumentos('234577','1','709214','IPE')"
08006-3,080063 BCO PATAGONIA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Fianças e avais outorgados, -",20190903 03/09/2019,20190903 03/09/2019 17:55,Ativo,1,AP,"OpenDownloadDocumentos('234603','1','709241','IPE')"
52064-0,520640 AGROPECUARIA TAMAKAVY S.A.,Assembleia,AGO/E,"Distribuição de Dividendos/Juros sobre Capital Próprio,Eleição de Membros dos Conselhos de Administração e Fiscal,Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,Ata",20180430 30/04/2018 08:30,20190903 03/09/2019 17:42,Ativo,1,AP,"OpenDownloadDocumentos('234596','1','709234','IPE')"
52064-0,520640 AGROPECUARIA TAMAKAVY S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Anuais Completas,,20181231 31/12/2018,20190903 03/09/2019 17:44,Ativo,1,AP,"OpenDownloadDocumentos('234599','1','709237','IPE')"
52064-0,520640 AGROPECUARIA TAMAKAVY S.A.,Dados cadastrais de companhias incentivadas,,,20191231 31/12/2019,20190903 03/09/2019 17:45,Ativo,1,AP,"OpenDownloadDocumentos('234600','1','709238','IPE')"
00092-2,000922 BCO AMAZONIA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 16:52,Ativo,1,AP,"OpenDownloadDocumentos('234732','1','709375','IPE')"
00112-0,001120 BCO ESTADO DE SERGIPE S.A. - BANESE,Dados Econômico-Financeiros,Relatório de Agência de Rating,"Relatório Ratings Moody´s Investors Services (versão em Inglês), -",20190903 03/09/2019,20190904 04/09/2019 09:50,Ativo,1,AP,"OpenDownloadDocumentos('234645','1','709284','IPE')"
00112-0,001120 BCO ESTADO DE SERGIPE S.A. - BANESE,Dados Econômico-Financeiros,Relatório de Agência de Rating,"Relatório Ratings Moody´s Investors Services (versão em Português), -",20190903 03/09/2019,20190904 04/09/2019 17:26,Ativo,1,AP,"OpenDownloadDocumentos('234743','1','709387','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 10:20,Ativo,1,AP,"OpenDownloadDocumentos('234648','1','709287','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Reunião da Administração,Conselho de Administração,"Criação da Carteira de Investimento,Ata",20190826 26/08/2019 11:00,20190904 04/09/2019 18:06,Ativo,3,RE,"OpenDownloadDocumentos('234756','3','709401','IPE')"
00122-8,001228 BCO NORDESTE DO BRASIL S.A.,Reunião da Administração,Conselho de Administração,"Recondução dos membros da Diretoria Executiva,Ata",20190829 29/08/2019 15:00,20190904 04/09/2019 18:12,Inativo,1,AP,"OpenDownloadDocumentos('234759','1','709404','IPE')"
00246-1,002461 CENTRAIS ELET DE SANTA CATARINA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 10:35,Ativo,1,AP,"OpenDownloadDocumentos('234653','1','709292','IPE')"
00257-7,002577 CESP - CIA ENERGETICA DE SAO PAULO,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20190904 04/09/2019 15:30,Ativo,6,RE,"OpenDownloadDocumentos('234718','6','709359','IPE')"
00306-9,003069 CIA FERRO LIGAS DA BAHIA - FERBASA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 16:02,Ativo,1,AP,"OpenDownloadDocumentos('234724','1','709365','IPE')"
00311-5,003115 CIA SEGUROS ALIANCA DA BAHIA,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 10:22,Ativo,1,AP,"OpenDownloadDocumentos('234649','1','709288','IPE')"
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 13:19,Ativo,1,AP,"OpenDownloadDocumentos('234705','1','709344','IPE')"
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190801 08/2019,20190904 04/09/2019 13:20,Ativo,1,AP,"OpenDownloadDocumentos('234706','1','709345','IPE')"
00332-8,003328 CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,Assembleia,AGE,"Eleição de Membro do Conselho Fiscal,Ata",20190830 30/08/2019 09:00,20190904 04/09/2019 08:47,Ativo,1,AP,"OpenDownloadDocumentos('234640','1','709279','IPE')"
00332-8,003328 CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,Formulário de Referência,,,20190101 2019,20190904 04/09/2019 08:18,Ativo,3,RE,"OpenDownloadDocumentos('87132','3','003328FRE201920190300087132-78','')"
00389-1,003891 FINANCEIRA ALFA S.A.- CRED FINANC E INVS,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Negociações atípicas de valores mobiliários, -",20190904 04/09/2019,20190904 04/09/2019 15:49,Ativo,1,AP,"OpenDownloadDocumentos('234719','1','709360','IPE')"
00389-1,003891 FINANCEIRA ALFA S.A.- CRED FINANC E INVS,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190904 04/09/2019 17:17,Ativo,1,AP,"OpenDownloadDocumentos('234740','1','709384','IPE')"
